question,correct_answer,possible_answers,type
Who was the screenwriter for The Rat?,Graham Cutts,"[""Graham Cutts"", ""John Henry Graham Cutts""]",screenwriter
What genre is The Happenings?,pop music,"[""pop music"", ""pop""]",genre
Who is the father of Ma Xiu?,Ma Teng,"[""Ma Teng""]",father
What is Sala the capital of?,Sala Municipality,"[""Sala Municipality"", ""Sala kommun"", ""Sala""]",capital of
Who was the screenwriter for Camp?,Todd Graff,"[""Todd Graff""]",screenwriter
Who was the director of The Dove?,Charles Jarrott,"[""Charles Jarrott""]",director
Who was the screenwriter for The Gamble?,Carlo Vanzina,"[""Carlo Vanzina""]",screenwriter
What genre is The Nest?,horror film,"[""horror film"", ""horror movie""]",genre
Who is the author of A Good Year?,Peter Mayle,"[""Peter Mayle""]",author
What is Richard Vaughan's occupation?,bishop,"[""bishop""]",occupation
What is the capital of Bahia?,Salvador,"[""Salvador"", ""São Salvador da Bahia de Todos os Santos""]",capital
Who was the screenwriter for Staten Island?,James DeMonaco,"[""James DeMonaco""]",screenwriter
What sport does 1899 Wisconsin Badgers football team play?,American football,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]",sport
In what city was Belly born?,Jenin,"[""Jenin""]",place of birth
Who was the composer of Chapters?,Mejo Joseph,"[""Mejo Joseph""]",composer
Who was the producer of The Island?,Kamen Kalev,"[""Kamen Kalev""]",producer
Who is the author of Tom Sawyer Abroad?,Mark Twain,"[""Mark Twain"", ""Samuel Langhorne Clemens"", ""Samuel L. Clemens"", ""Samuel Clemens""]",author
Who was the director of The Hard Way?,John Badham,"[""John Badham"", ""John MacDonald Badham""]",director
Who was the composer of Part of Me?,Bonnie McKee,"[""Bonnie McKee"", ""Bonnie Leigh McKee"", ""Max Martin"", ""Karl Martin Sandberg"", ""Martin White"", ""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry""]",composer
What is Lisa McRee's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
Who was the director of Tracks?,John Curran,"[""John Curran""]",director
Who was the director of Iris and the Lieutenant?,Alf Sjöberg,"[""Alf Sjöberg""]",director
Who was the director of The Red Squirrel?,Julio Médem,"[""Julio Médem"", ""Julio Medem""]",director
Who was the director of April 18?,Balachandra Menon,"[""Balachandra Menon""]",director
Who is the author of Hollywood Arms?,Carol Burnett,"[""Carol Burnett"", ""Carol Creighton Burnett""]",author
What genre is Global?,trip hop,"[""trip hop"", ""Bristol sound"", ""trip-hop""]",genre
What is the religion of Antonio Hernández Gallegos?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
Who was the screenwriter for Flodder 3?,Dick Maas,"[""Dick Maas""]",screenwriter
What sport does All-Ireland Senior Club Camogie Championship 1970 play?,camogie,"[""camogie""]",sport
What is the capital of State of Vietnam?,Ho Chi Minh City,"[""Ho Chi Minh City"", ""Ho Chi Minh"", ""Sài Gòn"", ""Saïgon"", ""HCMC"", ""Sai Gon"", ""yo mum"", ""Saigon""]",capital
Who was the producer of The Interview?,Seth Rogen,"[""Seth Rogen"", ""Seth Aaron Rogen"", ""Evan Goldberg""]",producer
What is Dominick Bellizzi's occupation?,jockey,"[""jockey""]",occupation
Who was the producer of Kaaki Sattai?,Dhanush,"[""Dhanush"", ""Venkatesh Prabhu Kasthuri Raja"", ""Dhanush Kastooriraja"", ""Dhanush K Raja""]",producer
Who was the director of Time Out?,Laurent Cantet,"[""Laurent Cantet""]",director
Who was the director of El Cid?,Anthony Mann,"[""Anthony Mann""]",director
Who was the director of Blessed?,Ana Kokkinos,"[""Ana Kokkinos""]",director
Who was the producer of Housefull 2?,Sajid Nadiadwala,"[""Sajid Nadiadwala""]",producer
Who was the producer of The Easiest Way?,Clara Kimball Young,"[""Clara Kimball Young"", ""Clara Kimball"", ""Edith Matilda Clara Kimball""]",producer
What genre is Escape?,crime film,"[""crime film"", ""crime movie""]",genre
"Who was the producer of ""Them""?",King Diamond,"[""King Diamond"", ""Kim Bendix Petersen""]",producer
Who was the producer of Take It Off?,Dr. Luke,"[""Dr. Luke"", ""Made In China"", ""Richard Head"", ""Kasz"", ""Lukasz Sebastian Gottwald""]",producer
Who is the author of The Outing?,James Baldwin,"[""James Baldwin"", ""James Arthur Baldwin""]",author
What is Ye the capital of?,Northern Qi,"[""Northern Qi"", ""Bei Qi"", ""Later Zhao""]",capital of
Who was the composer of America?,Paul Simon,"[""Paul Simon"", ""Paul Frederic Simon"", ""Jerry Landis""]",composer
Who was the screenwriter for Old School?,Scot Armstrong,"[""Scot Armstrong"", ""Todd Phillips""]",screenwriter
Who is the father of Cable?,Cyclops,"[""Cyclops"", ""Scott Summers""]",father
Who was the screenwriter for United?,Chris Chibnall,"[""Chris Chibnall"", ""Christopher Antony Chibnall""]",screenwriter
What genre is Second-Hand Hearts?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What genre is Real People?,reality television,"[""reality television"", ""reality TV"", ""reality television program"", ""reality TV program"", ""reality television show"", ""television reality program"", ""television reality show"", ""TV reality program"", ""TV reality show""]",genre
Who is the author of B²FH paper?,Fred Hoyle,"[""Fred Hoyle"", ""Margaret Burbidge"", ""E. Margaret Burbidge"", ""Eleanor Margaret Burbidge"", ""Eleanor Margaret Peachey"", ""Geoffrey Burbidge"", ""Geoffrey Ronald Burbidge"", ""William Alfred Fowler"", ""William Alfred \""Willy\"" Fowler"", ""William Fowler""]",author
Who was the screenwriter for The Nutcracker in 3D?,Andrei Konchalovsky,"[""Andrei Konchalovsky"", ""Andrei Sergeyevich Mikhalkov-Konchalovsky""]",screenwriter
Who is the author of World's End?,Upton Sinclair,"[""Upton Sinclair"", ""Upton Beall Sinclair"", ""Clarke Fitch"", ""Frederick Garrison"", ""Arthur Stirling"", ""Upton Sinclair Jr.""]",author
What genre is Bone Eater?,monster film,"[""monster film"", ""monster movie"", ""creature feature"", ""giant monster film"", ""Monster horror films""]",genre
Who was the screenwriter for Film?,Samuel Beckett,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]",screenwriter
Who is the author of The Post Office?,Rabindranath Tagore,"[""Rabindranath Tagore"", ""Rabīndranātha Thākur"", ""Kabiguru"", ""Tagore"", ""Bishwakabi"", ""R. Tagore"", ""Rabindranat Tagor"", ""Bhanu Singha Thakur"", ""Gurudev"", ""Biswakabi"", ""Nyi Wang Gönpo"", ""Tagore, rabindranath""]",author
Who was the composer of Be Prepared?,Elton John,"[""Elton John"", ""Reg Dwight"", ""Sir Elton Hercules John"", ""Reginald Kenneth Dwight""]",composer
What is the capital of Sabah?,Kota Kinabalu,"[""Kota Kinabalu"", ""Nature Resort City"", ""Jesselton""]",capital
What sport does Tony Wagstaff play?,association football,"[""association football"", ""football"", ""soccer""]",sport
"In what country is Wilcza Jama, Sokółka County?",Poland,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",country
What is the capital of Rondônia?,Porto Velho,"[""Porto Velho""]",capital
Who was the composer of Chicago?,John Kander,"[""John Kander"", ""John Harold Kander""]",composer
What sport does Pablo Cepellini play?,association football,"[""association football"", ""football"", ""soccer""]",sport
What genre is As One?,Cantopop,"[""Cantopop"", ""Cantonese popular music"", ""HK-pop"", ""Hong Kong pop music""]",genre
Who was the screenwriter for Student?,Darezhan Omirbaev,"[""Darezhan Omirbaev""]",screenwriter
What genre is My Husband?,comedy film,"[""comedy film"", ""comedy movie""]",genre
What is Ann Friedman's occupation?,journalist,"[""journalist"", ""journo"", ""journalists""]",occupation
Who is the author of Marooned in Realtime?,Vernor Vinge,"[""Vernor Vinge"", ""Vernor Steffen Vinge""]",author
In what country is Stadionul Ion Oblemenco?,Romania,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",country
What is the capital of Hood County?,Granbury,"[""Granbury"", ""Granbury, Texas""]",capital
Who was the screenwriter for No. 2?,Toa Fraser,"[""Toa Fraser""]",screenwriter
Who is the author of Tuesday?,David Wiesner,"[""David Wiesner""]",author
Who was the screenwriter for M?,Fritz Lang,"[""Fritz Lang"", ""Friedrich Christian Anton Lang"", ""Friedrich Christian Anton \""Fritz\"" Lang"", ""Fritz Lang (1890-1976)"", ""Thea von Harbou"", ""Thea Gabriele von Harbou""]",screenwriter
Who is the author of Assumption?,Samuel Beckett,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]",author
Who was the screenwriter for The Beast?,William Mastrosimone,"[""William Mastrosimone""]",screenwriter
Who was the director of Pilgrimage?,John Ford,"[""John Ford"", ""Jack Ford"", ""John Martin Feeney""]",director
What genre is Death and All His Friends?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
In what country is Gmina Lubsza?,Poland,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",country
Who was the screenwriter for I Love You?,Arnaldo Jabor,"[""Arnaldo Jabor""]",screenwriter
Who was the director of The Pornographers?,Shohei Imamura,"[""Shohei Imamura"", ""Shôhei Imamura"", ""Imamura Shohei""]",director
In what city was John O'Brien born?,Toomyvara,"[""Toomyvara"", ""Toomevara""]",place of birth
What is Thomas Challis's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
Who was the screenwriter for Jurassic Park?,Michael Crichton,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange"", ""David Koepp""]",screenwriter
What is Boston the capital of?,Bowie County,"[""Bowie County"", ""Bowie County, Texas""]",capital of
What is the religion of Ioan Duma?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
Who was the producer of Brothers?,Andy Lau,"[""Andy Lau"", ""Liu Dehua"", ""Lau Tak Wah"", ""Andy Lau Tak-wah""]",producer
What is the religion of Hebrew Theological College?,Judaism,"[""Judaism"", ""Jewish"", ""Jewish religion""]",religion
What is the capital of Belorechensky District?,Belorechensk,"[""Belorechensk""]",capital
In what city was Ricardo Maliandi born?,La Plata,"[""La Plata""]",place of birth
Who was the composer of Bad Things?,Jace Everett,"[""Jace Everett""]",composer
What is the capital of Nunavut?,Iqaluit,"[""Iqaluit""]",capital
What sport does VOKO-Irodion play?,volleyball,"[""volleyball""]",sport
In what city was Brad Goddard born?,Lucan Biddulph,"[""Lucan Biddulph""]",place of birth
Who is the author of Riders in the Chariot?,Patrick White,"[""Patrick White"", ""Patrick Victor Martindale White"", ""Alex Xenophon Demirjian Gray""]",author
In what city was Petru Stoianov born?,Vinga,"[""Vinga""]",place of birth
What genre is The Congress?,documentary film,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",genre
Who was the director of The Medium?,Gian Carlo Menotti,"[""Gian Carlo Menotti""]",director
Who is the author of Real?,Takehiko Inoue,"[""Takehiko Inoue"", ""Inoue Takehiko""]",author
Who was the screenwriter for Christine?,Arthur Schnitzler,"[""Arthur Schnitzler"", ""Pierre Gaspard-Huit""]",screenwriter
Who was the screenwriter for Shock?,Harish Shankar,"[""Harish Shankar"", ""Sanganabhatla Harish Shankar""]",screenwriter
Who was the producer of Sweet Home?,Jūzō Itami,"[""Jūzō Itami"", ""Juzo Itami"", ""Juuzou Itami""]",producer
Who was the screenwriter for Kitty?,Karl Tunberg,"[""Karl Tunberg""]",screenwriter
In what country is Storsteinnes Chapel?,Norway,"[""Norway"", ""Kingdom of Norway"", ""Norge"", ""Norvège‏"", ""NO"", ""NOR"", ""Noreg"", ""Norwegen‏"", ""🇳🇴""]",country
What is John Bell's occupation?,surgeon,"[""surgeon"", ""surgeons""]",occupation
Who was the screenwriter for The Mothman Prophecies?,John Keel,"[""John Keel"", ""John Alva Keel"", ""Alva John Kiehle"", ""John A. Keel""]",screenwriter
Who was the director of Zapata: El sueño de un héroe?,Alfonso Arau,"[""Alfonso Arau"", ""Alfonso Aráu""]",director
Who was the screenwriter for The Debt?,Krzysztof Krauze,"[""Krzysztof Krauze""]",screenwriter
Who was the screenwriter for Guilty?,Howard Gordon,"[""Howard Gordon"", ""Evan Katz""]",screenwriter
Who was the screenwriter for The Jacket?,Massy Tadjedin,"[""Massy Tadjedin""]",screenwriter
Who was the producer of On Record?,Jesse Louis Lasky,"[""Jesse Louis Lasky"", ""Jesse L. Lasky"", ""Jesse Lasky"", ""Jesse Louis Lasky Sr.""]",producer
What is the capital of arrondissement of Limoges?,Limoges,"[""Limoges"", ""Lemòtges"", ""Limòtges""]",capital
Who was the producer of The Slim Shady LP?,Dr. Dre,"[""Dr. Dre"", ""Andre Romelle Young"", ""The Mechanic"", ""Brickhard""]",producer
What sport does Marc Herold Gracien play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the director of Gunahon Ka Faisla?,Shibu Mitra,"[""Shibu Mitra""]",director
Who was the screenwriter for The Terminal?,Sacha Gervasi,"[""Sacha Gervasi"", ""Alexander Sacha Simon Gervasi"", ""Jeff Nathanson""]",screenwriter
Who was the producer of A Better Place?,Kevin Smith,"[""Kevin Smith"", ""Kevin Patrick Smith""]",producer
Who was the producer of Of June?,Adam Young,"[""Adam Young"", ""Adam Randal Young""]",producer
What genre is Sublime?,horror film,"[""horror film"", ""horror movie"", ""psychological horror""]",genre
Who was the producer of The Hunt?,Manoel de Oliveira,"[""Manoel de Oliveira"", ""Manoel Cândido Pinto de Oliveira""]",producer
Who was the producer of Skins?,Chris Clough,"[""Chris Clough""]",producer
Who was the producer of The Switch?,Jennifer Aniston,"[""Jennifer Aniston"", ""Jennifer Joanna Aniston""]",producer
Who was the director of Songs?,Stan Brakhage,"[""Stan Brakhage"", ""James Stanley Brakhage"", ""Robert Sanders""]",director
Who was the composer of The Heart of the World?,Georgy Sviridov,"[""Georgy Sviridov"", ""Georgiĭ Sviridov"", ""Georgiĭ Vasilʹevich Sviridov"", ""Georgy Vasilyevich Sviridov""]",composer
Who was the composer of In the Garden?,Van Morrison,"[""Van Morrison"", ""George Morrison"", ""George Ivan Morrison"", ""Sir George Morrison"", ""Sir George Ivan Morrison"", ""Van the Man""]",composer
Who was the composer of Starship Trooper?,Chris Squire,"[""Chris Squire"", ""Christopher Russell Edward Squire"", ""Steve Howe"", ""Stephen James Howe"", ""Jon Anderson"", ""John Roy Anderson""]",composer
Who is the author of Capital?,John Lanchester,"[""John Lanchester"", ""John Henry Lanchester""]",author
Who was the producer of Some Like It Hot?,Billy Wilder,"[""Billy Wilder"", ""Samuel Wilder""]",producer
What sport does Dragons play?,rugby union,"[""rugby union"", ""rugby""]",sport
Who is the father of Vision?,Ultron,"[""Ultron""]",father
What is Jacques Monasch's occupation?,politician,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",occupation
Who was the director of The Debt?,Frank Powell,"[""Frank Powell""]",director
Who was the composer of Tomoyo After: It's a Wonderful Life?,Jun Maeda,"[""Jun Maeda""]",composer
What is Eduard Looijenga's occupation?,mathematician,"[""mathematician""]",occupation
Who was the producer of Philadelphia?,Jonathan Demme,"[""Jonathan Demme"", ""Robert Jonathan Demme""]",producer
Who was the director of The Betrayed?,Frans Weisz,"[""Frans Weisz""]",director
Who was the director of Results?,Andrew Bujalski,"[""Andrew Bujalski""]",director
Who was the director of By Design?,Claude Jutra,"[""Claude Jutra""]",director
What is the capital of Armenia?,Yerevan,"[""Yerevan"", ""Erivan"", ""Erevan"", ""The Pink City"", ""Irevan"", ""Iravan""]",capital
What is Bruce McDaniel's occupation?,composer,"[""composer""]",occupation
Who is the author of In Our Time?,Ernest Hemingway,"[""Ernest Hemingway"", ""Hemingway"", ""Ernest Miller Hemmingway"", ""E. M. Hemmingway"", ""E. Hemmingway"", ""E. Hemingway"", ""Ernest M. Hemingway"", ""Ernest Miller Hemingway""]",author
Who was the director of Pilgrimage?,Werner Herzog,"[""Werner Herzog"", ""Werner Herzog Stipetić"", ""Werner Stipetić""]",director
What is the capital of South Sudan?,Juba,"[""Juba""]",capital
What is the capital of Basel-Landschaft?,Liestal,"[""Liestal"", ""Liestal BL""]",capital
Who is the author of Mars?,Marc Hempel,"[""Marc Hempel""]",author
Who is the author of Jerusalem?,Moses Mendelssohn,"[""Moses Mendelssohn""]",author
What is the religion of Francis?,Catholic Church,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion
Who is the father of Nadia Benois?,Leon Benois,"[""Leon Benois"", ""Ludovic Benois"", ""Leonty Benois"", ""Ludovic Nikolayevich Benois"", ""Leonty Nikolayevich Benois""]",father
Who was the director of Marriages?,Cristina Comencini,"[""Cristina Comencini""]",director
In what city was Italo Viglianesi born?,Caltagirone,"[""Caltagirone""]",place of birth
In what country is Traverse City?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What genre is Isis?,post-metal,"[""post-metal"", ""postmetal"", ""metalgaze"", ""shoegaze metal"", ""atmospheric metal"", ""experimental metal"", ""post metal""]",genre
Who was the producer of Wanted?,Mark Millar,"[""Mark Millar""]",producer
Who is the author of An Age?,Brian Aldiss,"[""Brian Aldiss"", ""Brian Wilson Aldiss"", ""Brian W. Aldiss"", ""Jael Cracken"", ""Dr. Peristyle"", ""C. C. Shackleton""]",author
In what country is ZAP?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is Ipoh the capital of?,Perak,"[""Perak""]",capital of
Who was the producer of One Love?,David Guetta,"[""David Guetta"", ""Pierre David Guetta"", ""Jack Back""]",producer
Who was the director of The Firm?,Nick Love,"[""Nick Love""]",director
Who was the director of A Cinderella Story: Once Upon a Song?,Damon Santostefano,"[""Damon Santostefano""]",director
What is the capital of Netherlands Antilles?,Willemstad,"[""Willemstad"", ""Williamtown"", ""Willemtown""]",capital
What is Vienna the capital of?,Holy Roman Empire,"[""Holy Roman Empire"", ""Holy Roman Empire of the German Nation"", ""First Reich"", ""Reich"", ""Austrian Empire"", ""Austria"", ""Habsburg Monarchy"", ""Habsburg Empire"", ""Austria-Hungary"", ""Austro-Hungarian Empire"", ""Dual Monarchy"", ""Austria Hungary"", ""Österreich"", ""Republic of Austria"", ""Republik Österreich"", ""AT"", ""AUT"", ""🇦🇹"", ""Lower Austria"", ""Niederösterreich""]",capital of
What sport does Moneygall GAA play?,Gaelic football,"[""Gaelic football"", ""hurling""]",sport
Who was the director of Escape?,Basil Dean,"[""Basil Dean"", ""Basil Herbert Dean""]",director
In what country is Welcome?,United States of America,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",country
What is the capital of Equatorial Guinea?,Malabo,"[""Malabo"", ""Port Clarence"", ""Santa Isabel""]",capital
What sport does Ozren Perić play?,association football,"[""association football"", ""football"", ""soccer""]",sport
Who was the producer of Rehab?,Timbaland,"[""Timbaland"", ""Timothy Mosley"", ""Timothy Zachery Mosley"", ""DJ Timmy Tim"", ""Timbo"", ""Timar"", ""DJ Tim"", ""Tim Mosley""]",producer
Who was the director of The Hours?,Stephen Daldry,"[""Stephen Daldry"", ""Stephen David Daldry""]",director
Who was the screenwriter for Un'altra vita?,Carlo Mazzacurati,"[""Carlo Mazzacurati""]",screenwriter
Who was the screenwriter for The Toy?,Richard Donner,"[""Richard Donner"", ""Richard Donald Schwartzberg"", ""Francis Veber"", ""Francis Paul Veber""]",screenwriter
Who was the director of Still Life?,Jia Zhangke,"[""Jia Zhangke""]",director
Who was the screenwriter for Snow White and the Seven Dwarfs?,Earl Hurd,"[""Earl Hurd"", ""Merrill De Maris"", ""Ted Sears"", ""Edward Sears""]",screenwriter
What is the capital of Barbados?,Bridgetown,"[""Bridgetown""]",capital
In what country is Brè?,Switzerland,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]",country
Who was the screenwriter for The Letter?,Manoel de Oliveira,"[""Manoel de Oliveira"", ""Manoel Cândido Pinto de Oliveira""]",screenwriter
Who was the director of Mac?,John Turturro,"[""John Turturro"", ""John Michael Turturro""]",director
What genre is The Prize?,spy film,"[""spy film""]",genre
Who was the director of Crazy?,Hans-Christian Schmid,"[""Hans-Christian Schmid""]",director
Who was the screenwriter for Hoppa högst?,Astrid Lindgren,"[""Astrid Lindgren"", ""Astrid Anna Emilia Lindgren""]",screenwriter
Who was the director of Casino?,Martin Scorsese,"[""Martin Scorsese"", ""Martin Skorseze"", ""Martin Charles Scorsese""]",director
Who is the father of Rama?,Dasharatha,"[""Dasharatha""]",father
Who is the author of Versed?,Rae Armantrout,"[""Rae Armantrout""]",author
Who is the author of Countdown to Final Crisis?,Adam Beechen,"[""Adam Beechen""]",author
Who was the producer of The Happening?,Sam Mercer,"[""Sam Mercer"", ""Barry Mendel""]",producer
What is the capital of Brussels Capital Region?,City of Brussels,"[""City of Brussels"", ""Brussels City"", ""Brussels, Belgium"", ""Bruxelles"", ""Brussel"", ""Stad Brussel"", ""Ville de Bruxelles"", ""02"", ""BXL"", ""Bru"", ""Brussels""]",capital
What genre is Low Life?,non-fiction,"[""non-fiction"", ""nonfiction"", ""non fiction""]",genre
Who was the screenwriter for Seed?,Gladys Lehman,"[""Gladys Lehman""]",screenwriter
Who was the screenwriter for Career?,Dalton Trumbo,"[""Dalton Trumbo"", ""James Dalton Trumbo"", ""Bert Granet""]",screenwriter
Who is the author of Trust Territory?,Janet Morris,"[""Janet Morris"", ""Janet Ellen Morris"", ""Janet E. Morris""]",author
Who was the director of Arsenal?,Oleksandr Dovzhenko,"[""Oleksandr Dovzhenko"", ""Alexander Petrovich Dovzhenko"", ""Oleksander Petrovych Dovzhenko"", ""Oleksandr Petrovych Dovzhenko"", ""Oleksander Dovzhenko""]",director
What is Chester the capital of?,Kingdom of Gwynedd,"[""Kingdom of Gwynedd"", ""Gwynedd""]",capital of
Who is the father of Naphtali?,Jacob,"[""Jacob"", ""Israel"", ""Ya'akov"", ""Ya'aqov"", ""Yaakov"", ""Yisrael""]",father
Who is the author of The Desperate Hours?,Joseph Hayes,"[""Joseph Hayes""]",author
Who was the director of May?,Lucky McKee,"[""Lucky McKee"", ""Edward Lucky McKee""]",director
What genre is Jeffrey?,romantic comedy,"[""romantic comedy"", ""romedy"", ""romcom""]",genre
Who was the screenwriter for Live Show?,Tina Fey,"[""Tina Fey"", ""Elizabeth Stamatina \""Tina\"" Fey"", ""Elizabeth Stamatina Fey"", ""Robert Carlock"", ""Robert Morgan Carlock""]",screenwriter
Who was the screenwriter for Monday?,John Shiban,"[""John Shiban"", ""Vince Gilligan"", ""George Vincent Gilligan, Jr.""]",screenwriter
Who was the producer of City of God?,Walter Salles,"[""Walter Salles"", ""Walter Moreira Salles, Jr.""]",producer
Who was the director of Her Decision?,Jack Conway,"[""Jack Conway"", ""Jack Conway (filmmaker)""]",director
What is Cape Town the capital of?,Western Cape,"[""Western Cape"", ""Western Cape Province"", ""province of the Western Cape"", ""province of Western Cape"", ""Union of South Africa"", ""Dominion of South Africa"", ""USA"", ""South Africa under Apartheid"", ""South Africa"", ""Republic of South Africa"", ""RSA"", ""SA"", ""za"", ""🇿🇦"", ""zaf""]",capital of
Who was the director of Hum Paanch?,Bapu,"[""Bapu"", ""Sattiraju Lakshmi Narayana""]",director
Who was the producer of Don?,Ritesh Sidhwani,"[""Ritesh Sidhwani""]",producer
What is the religion of Muhammad Ali?,Nation of Islam,"[""Nation of Islam"", ""NOI"", ""Sunni Islam"", ""Sunni"", ""Sunnite Muslims"", ""Sunnite Muslim"", ""Sufism"", ""Sufi"", ""Sufi (person)""]",religion
Who was the director of The Inspector General?,Henry Koster,"[""Henry Koster""]",director
In what city was Francisco María Oreamuno Bonilla born?,Cartago,"[""Cartago"", ""Cartago, Costa Rica""]",place of birth
Who was the director of The Wedding?,Wojciech Smarzowski,"[""Wojciech Smarzowski""]",director
What genre is Annales Bertiniani?,annals,"[""annals"", ""annales""]",genre
What is the religion of David Mills?,atheism,"[""atheism"", ""unbelief""]",religion
What genre is Pearl Jam?,alternative rock,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock""]",genre
Who was the director of The Walk?,Robert Zemeckis,"[""Robert Zemeckis"", ""Robert L. Zemeckis"", ""Robert Lee Zemeckis""]",director
Who was the composer of Ziegfeld Follies of 1936?,Vernon Duke,"[""Vernon Duke"", ""Vladimir Dukelsky""]",composer
What genre is Sometimes?,teen pop,"[""teen pop"", ""teenpop""]",genre
What genre is In the City?,mod revival,"[""mod revival"", ""punk rock"", ""punk"", ""punk music""]",genre
Who was the director of The Great Rupert?,Irving Pichel,"[""Irving Pichel""]",director
Who is the author of The Dirt?,Vince Neil,"[""Vince Neil"", ""Vincent Wharton"", ""Vincent Neil Wharton"", ""Nikki Sixx"", ""Frank Carlton Serafino Feranna Jr."", ""ANikki Sixx"", ""Mick Mars"", ""Neil Strauss"", ""Neil Darrow Strauss""]",author
In what city was Wayne G. Hammond born?,Cleveland,"[""Cleveland"", ""Cleveland, Ohio"", ""Cleveland, OH""]",place of birth
Who was the composer of Play?,Karlheinz Stockhausen,"[""Karlheinz Stockhausen"", ""Karl-Heinz Stockhausen""]",composer
Who was the screenwriter for Pilot?,Chuck Lorre,"[""Chuck Lorre"", ""Charles Michael Levine"", ""Bill Prady"", ""William Scott Prady""]",screenwriter
Who was the screenwriter for The Rainbow?,Ken Russell,"[""Ken Russell"", ""Henry Kenneth Alfred \""Ken\"" Russell"", ""Henry Kenneth Alfred Russell""]",screenwriter
In what country is Netherlands Antilles?,Kingdom of the Netherlands,"[""Kingdom of the Netherlands"", ""the Netherlands"", ""Netherlands"", ""NL"", ""🇳🇱""]",country
Who was the director of The Cool Ones?,Gene Nelson,"[""Gene Nelson"", ""Leander Eugene Berg""]",director
Who was the director of Katherine?,Jeremy Kagan,"[""Jeremy Kagan"", ""Jeremy Paul Kagan""]",director
What is the capital of Switzerland?,Bern,"[""Bern"", ""Berne"", ""city of Bern"", ""Berna""]",capital
Who is the father of Mihailo II of Duklja?,Constantine Bodin,"[""Constantine Bodin""]",father
Who was the screenwriter for On the Day Before?,Aaron Sorkin,"[""Aaron Sorkin"", ""Aaron Benjamin Sorkin"", ""Paul Redford""]",screenwriter
