question,correct_answer,possible_answers,type
Who was the producer of Back to Black?,Mark Ronson,"[""Mark Ronson"", ""Mark Daniel Ronson"", ""DJ Ronson""]",producer
Who was the producer of Leader?,M. S. Guhan,"[""M. S. Guhan""]",producer
Who was the producer of An Elephant Called Slowly?,Bill Travers,"[""Bill Travers"", ""William Inglis Lindon Travers""]",producer
Who was the producer of The Reach?,Michael Douglas,"[""Michael Douglas"", ""Michael Kirk Douglas""]",producer
Who was the producer of Revenge?,Kevin Costner,"[""Kevin Costner"", ""Kevin Michael Costner""]",producer
Who was the producer of Le Mentor?,Jean-Pierre Mocky,"[""Jean-Pierre Mocky""]",producer
Who was the producer of The Passenger?,Carlo Ponti,"[""Carlo Ponti"", ""Carlo Ponti, Sr.""]",producer
Who was the producer of Wall Street?,Harry Cohn,"[""Harry Cohn""]",producer
Who was the producer of Vessel of Wrath?,Charles Laughton,"[""Charles Laughton"", ""Laughton"", ""Erich Pommer""]",producer
Who was the producer of The Connection?,Shirley Clarke,"[""Shirley Clarke"", ""Shirley Brimberg Clarke"", ""Shirley Brimberg""]",producer
Who was the producer of Trance?,Danny Boyle,"[""Danny Boyle""]",producer
Who was the producer of The Detective?,Aaron Rosenberg,"[""Aaron Rosenberg""]",producer
Who was the producer of Title?,Kevin Kadish,"[""Kevin Kadish""]",producer
Who was the producer of No Problem?,Anil Kapoor,"[""Anil Kapoor"", ""anil""]",producer
Who was the producer of Filthy!?,Papa John Creach,"[""Papa John Creach"", ""John Henry Creach""]",producer
Who was the producer of (I Can't Make It) Another Day?,Lenny Kravitz,"[""Lenny Kravitz"", ""Leonard Albert Kravitz"", ""Leonard A. Kravitz""]",producer
Who was the producer of Mizugumo Monmon?,Hayao Miyazaki,"[""Hayao Miyazaki"", ""Miyazaki Hayao"", ""Tsutomu Teruki""]",producer
Who was the producer of Tarzan's Greatest Adventure?,Sy Weintraub,"[""Sy Weintraub"", ""Seymour George Weintraub""]",producer
Who was the producer of The Builder?,Rick Alverson,"[""Rick Alverson""]",producer
Who was the producer of The Miracle?,Joseph Menchen,"[""Joseph Menchen"", ""Max Reinhardt""]",producer
Who was the producer of Son of Cheep Thrills?,Frank Zappa,"[""Frank Zappa"", ""Frank Vincent Zappa""]",producer
Who was the producer of 2 Days in New York?,Julie Delpy,"[""Julie Delpy""]",producer
Who was the producer of The Return?,Greydon Clark,"[""Greydon Clark""]",producer
Who was the producer of Still?,Tony Banks,"[""Tony Banks"", ""Anthony George Banks"", ""Anthony George \""Tony\"" Banks""]",producer
Who was the producer of Health?,Robert Altman,"[""Robert Altman""]",producer
Who was the producer of Lady on the Bus?,Nelson Rodrigues,"[""Nelson Rodrigues"", ""Nélson Rodrigues"", ""Susana Flag""]",producer
Who was the producer of Imprint?,Chris Eyre,"[""Chris Eyre""]",producer
Who was the producer of Look Up?,Bob Neuwirth,"[""Bob Neuwirth""]",producer
Who was the producer of A Day at the Beach?,Roman Polanski,"[""Roman Polanski"", ""Rajmund Roman Thierry Polański"", ""Polanski""]",producer
Who was the producer of The Darling of Paris?,William Fox,"[""William Fox""]",producer
Who was the producer of Now Look?,Ronnie Wood,"[""Ronnie Wood"", ""Ronald David Wood"", ""Ronald Wood"", ""Ron Wood"", ""Ronald \""Ron\"" David Wood""]",producer
Who was the producer of Condition?,Amir Naderi,"[""Amir Naderi""]",producer
Who was the producer of The Immigrant?,Anthony Katagas,"[""Anthony Katagas""]",producer
Who was the producer of Red?,Leslie Cheung,"[""Leslie Cheung"", ""Leslie Cheung Kwok-wing""]",producer
Who was the producer of Harvest?,Neil Young,"[""Neil Young"", ""Neil Percival Young"", ""Shakey"", ""Godfather of Grunge"", ""Neil Percival Kenneth Robert Ragland Young""]",producer
Who was the producer of Particle Fever?,Mark Levinson,"[""Mark Levinson""]",producer
Who was the producer of Frozen River?,Chip Hourihan,"[""Chip Hourihan"", ""Heather Rae""]",producer
Who was the producer of The Anniversary?,Jimmy Sangster,"[""Jimmy Sangster"", ""James Henry Kinmel Sangster""]",producer
Who was the producer of Master?,Allu Aravind,"[""Allu Aravind""]",producer
Who was the producer of Black and White?,Nik Powell,"[""Nik Powell""]",producer
Who was the producer of Phenomena?,Dario Argento,"[""Dario Argento"", ""Sirio Bernadotte""]",producer
Who was the producer of Go?,Ram Gopal Varma,"[""Ram Gopal Varma"", ""RGV"", ""Penmetsa Ram Gopal Varma""]",producer
Who was the producer of Beat It?,Michael Jackson,"[""Michael Jackson"", ""MJ"", ""The King of Pop"", ""Michael Joe Jackson"", ""Michael Joseph Jackson"", ""M.J."", ""M. J."", ""King of Pop"", ""King of Music"", ""The King""]",producer
Who was the producer of You and Me?,Fritz Lang,"[""Fritz Lang"", ""Friedrich Christian Anton Lang"", ""Friedrich Christian Anton \""Fritz\"" Lang"", ""Fritz Lang (1890-1976)""]",producer
Who was the producer of Nine?,Maury Yeston,"[""Maury Yeston"", ""Rob Marshall""]",producer
Who was the producer of In Conflict?,Owen Pallett,"[""Owen Pallett"", ""Michael James Owen Pallett""]",producer
Who was the producer of The Kid?,Charlie Chaplin,"[""Charlie Chaplin"", ""Charles Spencer Chaplin"", ""Charles Chaplin"", ""Sir Charles Spencer Chaplin""]",producer
Who was the producer of Thoda Pyaar Thoda Magic?,Aditya Chopra,"[""Aditya Chopra"", ""Kunal Kohli""]",producer
Who was the producer of The Piano?,Jan Chapman,"[""Jan Chapman""]",producer
Who was the producer of Dangerous?,Michael Jackson,"[""Michael Jackson"", ""MJ"", ""The King of Pop"", ""Michael Joe Jackson"", ""Michael Joseph Jackson"", ""M.J."", ""M. J."", ""King of Pop"", ""King of Music"", ""The King""]",producer
Who was the producer of The Exile?,Douglas Fairbanks Jr.,"[""Douglas Fairbanks Jr."", ""Douglas Fairbanks, Jr."", ""Douglas Fairbanks""]",producer
Who was the producer of A Night to Remember?,William MacQuitty,"[""William MacQuitty""]",producer
Who was the producer of I Am Love?,Luca Guadagnino,"[""Luca Guadagnino"", ""Tilda Swinton"", ""Katherine Mathilda Swinton"", ""Katherine Matilda \""Tilda\"" Swinton"", ""Katherine Matilda Swinton""]",producer
Who was the producer of The Lucky Stiff?,Jack Benny,"[""Jack Benny""]",producer
Who was the producer of Parker?,Leslie Alexander,"[""Leslie Alexander"", ""Taylor Hackford"", ""Taylor Edwin Hackford""]",producer
Who was the producer of The Off Season?,Larry Fessenden,"[""Larry Fessenden"", ""Laurence T. Fessenden""]",producer
Who was the producer of Taxi?,Luc Besson,"[""Luc Besson"", ""Luc Paul Maurice Besson""]",producer
Who was the producer of The Only Way?,Herbert Wilcox,"[""Herbert Wilcox"", ""Herbert Sydney Wilcox""]",producer
Who was the producer of The Paper?,David Koepp,"[""David Koepp""]",producer
Who was the producer of Serial?,Sarah Koenig,"[""Sarah Koenig""]",producer
Who was the producer of I Dood It?,Metro-Goldwyn-Mayer,"[""Metro-Goldwyn-Mayer"", ""MGM""]",producer
Who was the producer of Animal Factory?,Steve Buscemi,"[""Steve Buscemi"", ""Steven Vincent Buscemi"", ""Danny Trejo"", ""Dan Trejo"", ""Edward Bunker"", ""Eddie Bunker"", ""Edward Heward Bunker""]",producer
Who was the producer of Never Give Up?,Haruki Kadokawa,"[""Haruki Kadokawa""]",producer
Who was the producer of Vinci?,Juliusz Machulski,"[""Juliusz Machulski""]",producer
Who was the producer of Sphere?,Michael Crichton,"[""Michael Crichton"", ""John Michael Crichton"", ""Michael Douglas"", ""Jeffery Hudson"", ""John Lange"", ""Barry Levinson""]",producer
Who was the producer of Compliance?,Craig Zobel,"[""Craig Zobel"", ""Roger Craig Zobel""]",producer
Who was the producer of Halloween?,Debra Hill,"[""Debra Hill""]",producer
Who was the producer of Glass?,Bert Haanstra,"[""Bert Haanstra"", ""Albert Haanstra""]",producer
Who was the producer of Not a Pretty Picture?,Martha Coolidge,"[""Martha Coolidge""]",producer
Who was the producer of Numb?,Brian Eno,"[""Brian Eno"", ""Eno"", ""Brian Peter George Eno"", ""Brian Peter George St John le Baptiste de la Salle Eno"", ""The Edge"", ""David Evans"", ""David Howell Evans"", ""Dave Evans""]",producer
Who was the producer of Maling Kutang?,Kinaryosih,"[""Kinaryosih""]",producer
Who was the producer of The Dilemma?,Ron Howard,"[""Ron Howard"", ""Ronald William Howard"", ""Vince Vaughn"", ""Vincent Anthony Vaughn"", ""Vincent Vaughn""]",producer
"Who was the producer of Runner, Runner?",Stacey Sher,"[""Stacey Sher"", ""Brian Koppelman"", ""David Levien"", ""Leonardo DiCaprio"", ""Di Caprio"", ""Leonardo di Caprio"", ""Leo DiCaprio"", ""Leonardo Wilhelm DiCaprio""]",producer
Who was the producer of Ram?,Paul McCartney,"[""Paul McCartney"", ""Sir Paul McCartney"", ""Macca"", ""James Paul McCartney""]",producer
Who was the producer of The Birds?,Alfred Hitchcock,"[""Alfred Hitchcock"", ""Alfred Joseph Hitchcock"", ""Sir Alfred Hitchcock""]",producer
Who was the producer of The Church?,Vittorio Cecchi Gori,"[""Vittorio Cecchi Gori"", ""Dario Argento"", ""Sirio Bernadotte""]",producer
Who was the producer of Drushyam?,Rajkumar Sethupathi,"[""Rajkumar Sethupathi"", ""Daggubati Suresh Babu""]",producer
Who was the producer of Champion?,T-Minus,"[""T-Minus"", ""Tyler Mathew Carl Williams"", ""Tyler Williams""]",producer
Who was the producer of Discipline?,King Crimson,"[""King Crimson""]",producer
Who was the producer of Doubt?,Scott Rudin,"[""Scott Rudin"", ""Scott Rudin Productions""]",producer
Who was the producer of Deathstalker II?,Roger Corman,"[""Roger Corman"", ""Roger William Corman""]",producer
Who was the producer of Holiday?,Pooja Bhatt,"[""Pooja Bhatt""]",producer
Who was the producer of Twelve?,Patti Smith,"[""Patti Smith"", ""Patricia Lee Smith""]",producer
Who was the producer of I Do?,Alain Chabat,"[""Alain Chabat""]",producer
Who was the producer of Sunny?,Dharmendra,"[""Dharmendra""]",producer
Who was the producer of An Unearthly Child?,Verity Lambert,"[""Verity Lambert"", ""Verity Ann Lambert"", ""Mervyn Pinfield""]",producer
Who was the producer of The Champ?,King Vidor,"[""King Vidor"", ""King Wallis Vidor""]",producer
Who was the producer of The Rink?,Charlie Chaplin,"[""Charlie Chaplin"", ""Charles Spencer Chaplin"", ""Charles Chaplin"", ""Sir Charles Spencer Chaplin""]",producer
Who was the producer of Cro?,Film Roman,"[""Film Roman""]",producer
Who was the producer of The Holly and the Ivy?,Anatole de Grunwald,"[""Anatole de Grunwald""]",producer
Who was the producer of The Hole?,Jeremy Bolt,"[""Jeremy Bolt""]",producer
Who was the producer of A Moment?,Brian Alexander Morgan,"[""Brian Alexander Morgan""]",producer
Who was the producer of Hotel?,Moby,"[""Moby"", ""Richard Melville Hall"", ""Voodoo Child"", ""Barracuda"", ""Brainstorm"", ""Schaumgummi"", ""Pippy Baliunas"", ""UHF"", ""Elizabeth McBride""]",producer
Who was the producer of Management?,Jennifer Aniston,"[""Jennifer Aniston"", ""Jennifer Joanna Aniston""]",producer
Who was the producer of Every Night?,Paul McCartney,"[""Paul McCartney"", ""Sir Paul McCartney"", ""Macca"", ""James Paul McCartney""]",producer
Who was the producer of Are You Here?,Zach Galifianakis,"[""Zach Galifianakis"", ""Zacharius Knight Galifinakis"", ""Zachary Knight Galifianakis"", ""Owen Wilson"", ""Owen Cunningham Wilson"", ""Amy Poehler"", ""Amy Meredith Poehler""]",producer
Who was the producer of The Journey?,Anatole Litvak,"[""Anatole Litvak""]",producer
Who was the producer of Precious?,Lee Daniels,"[""Lee Daniels"", ""Lee Louis Daniels"", ""Oprah Winfrey"", ""Oprah Gail Winfrey"", ""Oprah"", ""Tyler Perry"", ""Emmitt Perry Jr.""]",producer
"Who was the producer of I'm a Cyborg, But That's OK?",Park Chan-wook,"[""Park Chan-wook"", ""Chan-wook Park"", ""Park Chan-uk""]",producer
Who was the producer of H?,Darrell Wasyk,"[""Darrell Wasyk""]",producer
Who was the producer of The Treatment?,Oren Rudavsky,"[""Oren Rudavsky""]",producer
Who was the producer of Life?,Iain Canning,"[""Iain Canning""]",producer
Who was the producer of Revenge?,Edwin Carewe,"[""Edwin Carewe""]",producer
Who was the producer of Viruddh... Family Comes First?,Amitabh Bachchan,"[""Amitabh Bachchan"", ""Big B""]",producer
Who was the producer of Side by Side?,Keanu Reeves,"[""Keanu Reeves"", ""Keanu Charles Reeves""]",producer
Who was the producer of Together Again?,Virginia Van Upp,"[""Virginia Van Upp""]",producer
Who was the producer of The Blair Witch Project?,Gregg Hale,"[""Gregg Hale""]",producer
Who was the producer of 2010: The Year We Make Contact?,Peter Hyams,"[""Peter Hyams""]",producer
Who was the producer of The Days?,Wang Xiaoshuai,"[""Wang Xiaoshuai""]",producer
Who was the producer of By the Sea?,Angelina Jolie,"[""Angelina Jolie"", ""Angelina Jolie Voight"", ""Brad Pitt"", ""William Bradley Pitt"", ""Brad Jolie-Pitt""]",producer
Who was the producer of Call It a Day?,Dodie Smith,"[""Dodie Smith"", ""Charles Henry Percy"", ""C. L. Anthony"", ""Dorothy Gladys Smith"", ""Dorothy Gladys Beesley"", ""Dorothy Beesley"", ""Dodie Beesley""]",producer
Who was the producer of The Unborn?,Michael Bay,"[""Michael Bay"", ""Michael Benjamin Bay""]",producer
Who was the producer of The Moment?,Kenny G,"[""Kenny G"", ""Kenneth Bruce Gorelick""]",producer
Who was the producer of Leader?,Sashadhar Mukherjee,"[""Sashadhar Mukherjee""]",producer
Who was the producer of Smile?,Michael Ritchie,"[""Michael Ritchie"", ""Michael Brunswick Ritchie""]",producer
Who was the producer of Some Like It Hot?,Billy Wilder,"[""Billy Wilder"", ""Samuel Wilder""]",producer
Who was the producer of Seven?,Andy Sidaris,"[""Andy Sidaris""]",producer
Who was the producer of Meet Bill?,Aaron Eckhart,"[""Aaron Eckhart"", ""Aaron Edward Eckhart""]",producer
Who was the producer of The Shout?,Jeremy Thomas,"[""Jeremy Thomas""]",producer
Who was the producer of Damage?,Josephine Hart,"[""Josephine Hart""]",producer
Who was the producer of Kiss?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",producer
Who was the producer of The Soldier?,James Glickenhaus,"[""James Glickenhaus""]",producer
Who was the producer of Best Friends?,Norman Jewison,"[""Norman Jewison""]",producer
Who was the producer of Alien?,David Giler,"[""David Giler"", ""Walter Hill""]",producer
Who was the producer of Ashes & Fire?,Glyn Johns,"[""Glyn Johns"", ""Glyn Thomas Johns""]",producer
Who was the producer of Kaaka Muttai?,Dhanush,"[""Dhanush"", ""Venkatesh Prabhu Kasthuri Raja"", ""Dhanush Kastooriraja"", ""Dhanush K Raja""]",producer
Who was the producer of Things to Come?,Alexander Korda,"[""Alexander Korda"", ""Sir Alexander Korda""]",producer
Who was the producer of Night in Paradise?,Walter Wanger,"[""Walter Wanger""]",producer
Who was the producer of The Holiday?,Columbia Pictures,"[""Columbia Pictures"", ""CPII"", ""Columbia Pictures Industries, Inc."", ""Columbia Pictures Entertainment"", ""Columbia Pictures Corporation"", ""Nancy Meyers"", ""Nancy Jane Meyers""]",producer
"Who was the producer of Sleep, My Love?",Mary Pickford,"[""Mary Pickford"", ""Gladys Marie Smith"", ""Gladys Louise Smith"", ""Gladys Mary Moore""]",producer
Who was the producer of The Killer?,Tsui Hark,"[""Tsui Hark""]",producer
Who was the producer of Disney's The Kid?,Jon Turteltaub,"[""Jon Turteltaub"", ""Jonathan Charles \""Jon\"" Turteltaub"", ""Jonathan Charles Turteltaub""]",producer
Who was the producer of Control?,Anton Corbijn,"[""Anton Corbijn"", ""Anton Corbyn"", ""Anton Johannes Gerrit Corbijn van Willenswaard"", ""Anton Cortbijn"", ""Tony Wilson"", ""Anthony Howard Wilson""]",producer
Who was the producer of Around the World?,Allan Dwan,"[""Allan Dwan""]",producer
Who was the producer of Knowing?,Alex Proyas,"[""Alex Proyas"", ""Alexander \""Alex\"" Proyas"", ""Alexander Proyas""]",producer
Who was the producer of Woman?,Maurice Tourneur,"[""Maurice Tourneur"", ""Tourneur""]",producer
Who was the producer of 9?,Jim Lemley,"[""Jim Lemley"", ""Timur Bekmambetov"", ""Timur Nurbakhitovich Bekmambetov"", ""Timur Nuruakhitovich Bekmambetov"", ""Tim Burton"", ""Timothy Burton"", ""Timothy William Burton"", ""Timothy Walter Burton""]",producer
Who was the producer of Saw II?,Gregg Hoffman,"[""Gregg Hoffman"", ""Oren Koules"", ""Mark Burg"", ""Leigh Whannell""]",producer
Who was the producer of Sailor?,Glyn Johns,"[""Glyn Johns"", ""Glyn Thomas Johns""]",producer
Who was the producer of Cookie's Fortune?,Robert Altman,"[""Robert Altman""]",producer
Who was the producer of Fling?,Brandon Routh,"[""Brandon Routh"", ""Brandon James Routh""]",producer
Who was the producer of The Small Town?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",producer
Who was the producer of Time Piece?,Jim Henson,"[""Jim Henson"", ""James Maury Henson""]",producer
Who was the producer of A Separation?,Asghar Farhadi,"[""Asghar Farhadi""]",producer
Who was the producer of Doc?,Frank Perry,"[""Frank Perry"", ""Frank J. Perry"", ""Frank Joseph Perry, Jr.""]",producer
Who was the producer of Music?,William Orbit,"[""William Orbit"", ""William Wainwright"", ""William Ørbit"", ""Strange Cargo"", ""William Mark Wainwright""]",producer
Who was the producer of Horse?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",producer
Who was the producer of Heat?,Andy Warhol,"[""Andy Warhol"", ""Andrew Warhola"", ""Andrew Warhol"", ""Drella"", ""Andrej Varchol"", ""Andrej Warhol""]",producer
Who was the producer of Chef?,Jon Favreau,"[""Jon Favreau"", ""Jonathan Favreau"", ""Jonathan Kolia Favreau""]",producer
Who was the producer of Warm and Cool?,Tom Verlaine,"[""Tom Verlaine""]",producer
Who was the producer of Agony?,Elem Klimov,"[""Elem Klimov"", ""Elem Germanovich Klimov""]",producer
Who was the producer of The Fly?,Mel Brooks,"[""Mel Brooks"", ""Melvin Brooks"", ""Melvin Kaminsky""]",producer
Who was the producer of Adopted?,Pauly Shore,"[""Pauly Shore"", ""Paul Montgomery Shore""]",producer
Who was the producer of The Possession?,Sam Raimi,"[""Sam Raimi"", ""Samuel Marshall Raimi""]",producer
Who was the producer of Mayabazar?,B. Nagi Reddy,"[""B. Nagi Reddy"", ""B. N. Reddy"", ""Nagi reddy"", ""Bommireddy Nagi Reddy"", ""Aluri Chakrapani"", ""Aluri Venkata Subbarao"", ""Chakrapani""]",producer
Who was the producer of Antártida?,John Cale,"[""John Cale"", ""John Davies Cale"", ""00033982178 IPI""]",producer
Who was the producer of Anthems?,Brian May,"[""Brian May"", ""Brian Harold May""]",producer
Who was the producer of Happy Gilmore?,Robert Simonds,"[""Robert Simonds"", ""Robert Bruce Simonds, Jr.""]",producer
Who was the producer of No Clue?,Brent Butt,"[""Brent Butt"", ""Brent Leroy Butt""]",producer
Who was the producer of USA?,King Crimson,"[""King Crimson""]",producer
Who was the producer of Spectrum?,Billy Cobham,"[""Billy Cobham"", ""William Emanuel Cobham""]",producer
Who was the producer of Career Opportunities?,John Hughes,"[""John Hughes"", ""John Hughes, Jr.""]",producer
Who was the producer of Departure?,Taio Cruz,"[""Taio Cruz"", ""Jacob Taio Cruz"", ""Jacob Milan Taio Cruz"", ""Adetayo Ayowale Onile-Ere""]",producer
Who was the producer of Are You Here?,Zach Galifianakis,"[""Zach Galifianakis"", ""Zacharius Knight Galifinakis"", ""Zachary Knight Galifianakis"", ""Owen Wilson"", ""Owen Cunningham Wilson"", ""Amy Poehler"", ""Amy Meredith Poehler""]",producer
Who was the producer of The Giver?,Jeff Bridges,"[""Jeff Bridges"", ""Jeffrey Leon Bridges"", ""Jeffrey Leon \""Jeff\"" Bridges""]",producer
Who was the producer of Arizona?,Douglas Fairbanks,"[""Douglas Fairbanks"", ""Douglas Fairbanks, Sr."", ""Douglas Elton Thomas Ullman"", ""Douglas Ullman"", ""Doug Fairbanks""]",producer
Who was the producer of Coquette?,Mary Pickford,"[""Mary Pickford"", ""Gladys Marie Smith"", ""Gladys Louise Smith"", ""Gladys Mary Moore""]",producer
Who was the producer of 1977?,R. Sarathkumar,"[""R. Sarathkumar"", ""Sarath Kumar"", ""Sarathkumar Ramanathan""]",producer
Who was the producer of Party?,Gary Coleman,"[""Gary Coleman"", ""Gary Wayne Coleman""]",producer
Who was the producer of Candy?,Margaret Fink,"[""Margaret Fink""]",producer
Who was the producer of Back to the Future?,Neil Canton,"[""Neil Canton"", ""Bob Gale"", ""Michael Robert Gale""]",producer
Who was the producer of Beyond Belief?,Beth Murphy,"[""Beth Murphy""]",producer
Who was the producer of Fei Cheng Wu Rao?,Jiangsu Broadcasting Corporation,"[""Jiangsu Broadcasting Corporation"", ""JSBC""]",producer
Who was the producer of Signs?,Sam Mercer,"[""Sam Mercer""]",producer
Who was the producer of The Eye?,Peter Chan,"[""Peter Chan"", ""Peter"", ""Peter Ho-sun Chan""]",producer
Who was the producer of Water?,Ian La Frenais,"[""Ian La Frenais""]",producer
Who was the producer of Lemon?,Brian Eno,"[""Brian Eno"", ""Eno"", ""Brian Peter George Eno"", ""Brian Peter George St John le Baptiste de la Salle Eno"", ""The Edge"", ""David Evans"", ""David Howell Evans"", ""Dave Evans""]",producer
Who was the producer of Mass?,Akkineni Nagarjuna,"[""Akkineni Nagarjuna"", ""Nagarjuna Akkineni"", ""Nagarjuna"", ""Akkineni Nagarjuna Rao""]",producer
Who was the producer of Paid?,Sam Wood,"[""Sam Wood"", ""Samuel Grosvenor \""Sam\"" Wood"", ""Samuel Grosvenor Wood""]",producer
Who was the producer of Saturday Morning?,Hal Roach,"[""Hal Roach""]",producer
Who was the producer of The Ref?,Jerry Bruckheimer,"[""Jerry Bruckheimer"", ""Jerome Leon Bruckheimer"", ""Don Simpson"", ""Donald Clarence Simpson"", ""Donald Clarence \""Don\"" Simpson""]",producer
Who was the producer of Rainbow?,Mariah Carey,"[""Mariah Carey"", ""MC"", ""Mirage"", ""Mimi"", ""Elusive Chanteuse"", ""Songbird Supreme"", ""Carey""]",producer
Who was the producer of There and Back?,Jeff Beck,"[""Jeff Beck"", ""Geoffrey Arnold Beck"", ""Geoffery Arnold \""Jeff\"" Beck""]",producer
Who was the producer of Memories?,David Guetta,"[""David Guetta"", ""Pierre David Guetta"", ""Jack Back""]",producer
Who was the producer of The Bodyguard?,Kevin Costner,"[""Kevin Costner"", ""Kevin Michael Costner"", ""Lawrence Kasdan"", ""Lawrence Edward Kasdan""]",producer
Who was the producer of Frequency?,Toby Emmerich,"[""Toby Emmerich"", ""Gregory Hoblit"", ""Gregory King Hoblit""]",producer
Who was the producer of Legacy?,Idris Elba,"[""Idris Elba"", ""Big Driis the Londoner"", ""DJ Big Driis"", ""Idrissa Akuna Elba Obe""]",producer
Who was the producer of Tattoo?,Rory Gallagher,"[""Rory Gallagher"", ""William Rory Gallagher""]",producer
Who was the producer of Restless?,Ron Howard,"[""Ron Howard"", ""Ronald William Howard"", ""Bryce Dallas Howard"", ""Brian Grazer"", ""El Grazer""]",producer
Who was the producer of Mast?,Ram Gopal Varma,"[""Ram Gopal Varma"", ""RGV"", ""Penmetsa Ram Gopal Varma""]",producer
Who was the producer of Strangers May Kiss?,George Fitzmaurice,"[""George Fitzmaurice""]",producer
Who was the producer of Magica?,Ronnie James Dio,"[""Ronnie James Dio"", ""Ronald James Padavona"", ""Dio"", ""Ronald Padavona""]",producer
Who was the producer of The East?,Brit Marling,"[""Brit Marling"", ""Brit Heyworth Marling"", ""Scott Free Productions"", ""Percy Main Productions"", ""Ridley Scott"", ""Sir Ridley Scott""]",producer
Who was the producer of The Rat?,Herbert Wilcox,"[""Herbert Wilcox"", ""Herbert Sydney Wilcox""]",producer
Who was the producer of Riding the Bullet?,Mick Garris,"[""Mick Garris""]",producer
Who was the producer of The Island?,Kamen Kalev,"[""Kamen Kalev""]",producer
Who was the producer of Parade of the Award Nominees?,Walt Disney,"[""Walt Disney"", ""Walter Elias Disney"", ""W. Disney"", ""Walter E. Disney""]",producer
Who was the producer of Cinderella?,Daniel Frohman,"[""Daniel Frohman""]",producer
Who was the producer of Game?,Yasutaka Nakata,"[""Yasutaka Nakata""]",producer
Who was the producer of The Running Man?,Tim Zinnemann,"[""Tim Zinnemann""]",producer
Who was the producer of Today?,Reza Mirkarimi,"[""Reza Mirkarimi""]",producer
Who was the producer of Recovery?,Dr. Dre,"[""Dr. Dre"", ""Andre Romelle Young"", ""The Mechanic"", ""Brickhard""]",producer
Who was the producer of Calendar?,Atom Egoyan,"[""Atom Egoyan"", ""Atom Yeghoyan""]",producer
Who was the producer of Lincoln?,Steven Spielberg,"[""Steven Spielberg"", ""Steven Allan Spielberg"", ""Spielberg""]",producer
Who was the producer of Imagine?,John Lennon,"[""John Lennon"", ""John Winston Ono Lennon"", ""John Winston Lennon"", ""Lennon John"", ""John Ono Lennon""]",producer
Who was the producer of Jesus?,John Heyman,"[""John Heyman"", ""J. Heyman""]",producer
Who was the producer of The Curse?,Lucio Fulci,"[""Lucio Fulci""]",producer
Who was the producer of The Holy Girl?,Lita Stantic,"[""Lita Stantic""]",producer
Who was the producer of Storm?,David Winning,"[""David Winning""]",producer
Who was the producer of Crash?,Don Cheadle,"[""Don Cheadle"", ""Paul Haggis"", ""Paul Edward Haggis""]",producer
Who was the producer of Seconds?,John Frankenheimer,"[""John Frankenheimer"", ""John Michael Frankenheimer""]",producer
Who was the producer of O Dragão da Maldade Contra o Santo Guerreiro?,Glauber Rocha,"[""Glauber Rocha"", ""Glauber de Andrade Rocha""]",producer
Who was the producer of Georgia?,Jennifer Jason Leigh,"[""Jennifer Jason Leigh"", ""Jennifer Leigh Morrow""]",producer
Who was the producer of Higher Learning?,John Singleton,"[""John Singleton"", ""John Daniel Singleton""]",producer
Who was the producer of Let It Be?,The Beatles,"[""The Beatles"", ""Fab Four"", ""The Lads from Liverpool"", ""The Beattles"", ""Beatles"", ""John, Paul, George, and Ringo""]",producer
Who was the producer of Squeeze?,Doug Yule,"[""Doug Yule"", ""Douglas Alan Yule""]",producer
Who was the producer of I?,Viswanathan Ravichandran,"[""Viswanathan Ravichandran""]",producer
Who was the producer of The Fog?,Debra Hill,"[""Debra Hill"", ""John Carpenter"", ""John Howard Carpenter""]",producer
Who was the producer of The Best of Everything?,Jerry Wald,"[""Jerry Wald"", ""Jerome Irving Wald""]",producer
Who was the producer of Holes?,Mike Medavoy,"[""Mike Medavoy"", ""Morris Mike Medavoy""]",producer
Who was the producer of The Other?,Tom Tryon,"[""Tom Tryon"", ""Thomas Tryon"", ""Robert Mulligan"", ""Robert Patrick Mulligan""]",producer
Who was the producer of 9?,Jim Lemley,"[""Jim Lemley"", ""Timur Bekmambetov"", ""Timur Nurbakhitovich Bekmambetov"", ""Timur Nuruakhitovich Bekmambetov"", ""Tim Burton"", ""Timothy Burton"", ""Timothy William Burton"", ""Timothy Walter Burton""]",producer
Who was the producer of The Front?,Martin Ritt,"[""Martin Ritt""]",producer
Who was the producer of My Love?,Linda Perry,"[""Linda Perry""]",producer
Who was the producer of The Party?,Blake Edwards,"[""Blake Edwards"", ""William Blake Crump""]",producer
Who was the producer of Delivered?,Guy Ferland,"[""Guy Ferland""]",producer
Who was the producer of The Era?,Jay Chou,"[""Jay Chou"", ""Zhou Jielun"", ""Chou Chieh-lun"", ""sheldon""]",producer
Who was the producer of Down the Way?,Angus & Julia Stone,"[""Angus & Julia Stone""]",producer
Who was the producer of 15 Minutes?,John Herzfeld,"[""John Herzfeld""]",producer
Who was the producer of The Jack-Knife Man?,King Vidor,"[""King Vidor"", ""King Wallis Vidor""]",producer
